KCIT,400,208,5,1,0.6084
SDCIT,400,208,10,1,0.318
KCIT,400,208,10,1,0.4268
SDCIT,400,208,20,1,0.216
KCIT,400,208,20,1,0.4124
SDCIT,200,172,0.05,1,0.588
KCIT,200,172,0.05,1,0.188
SDCIT,200,172,0.1,1,0.58
KCIT,200,172,0.1,1,0.1812
SDCIT,200,172,0.2,1,0.544
KCIT,200,172,0.2,1,0.1566
SDCIT,200,172,0.5,1,0.436
KCIT,200,172,0.5,1,0.1616
SDCIT,200,172,1,1,0.302
KCIT,200,172,1,1,0.124
SDCIT,200,172,2,1,0.184
KCIT,200,172,2,1,0.1346
SDCIT,200,172,5,1,0.058
KCIT,200,172,5,1,0.103
SDCIT,200,172,10,1,0.022
KCIT,200,172,10,1,0.148
SDCIT,200,172,20,1,0.02
KCIT,200,172,20,1,0.2278
SDCIT,400,269,0.05,1,0.122
KCIT,400,269,0.05,1,0.2598
SDCIT,400,269,0.1,1,0.126
KCIT,400,269,0.1,1,0.2794
SDCIT,400,269,0.2,1,0.174
KCIT,400,269,0.2,1,0.3078
SDCIT,400,269,0.5,1,0.15
KCIT,400,269,0.5,1,0.4528
SDCIT,400,269,1,1,0.15
KCIT,400,269,1,1,0.5156
SDCIT,400,269,2,1,0.128
KCIT,400,269,2,1,0.484
SDCIT,400,269,5,1,0.178
KCIT,400,269,5,1,0.293
SDCIT,400,269,10,1,0.28
KCIT,400,269,10,1,0.239
SDCIT,400,269,20,1,0.506
KCIT,400,269,20,1,0.2772
SDCIT,400,28,0.05,1,0.424
KCIT,400,28,0.05,1,0.2138
SDCIT,400,28,0.1,1,0.448
KCIT,400,28,0.1,1,0.2214
SDCIT,400,28,0.2,1,0.466
KCIT,400,28,0.2,1,0.2238
SDCIT,400,28,0.5,1,0.516
KCIT,400,28,0.5,1,0.2284
SDCIT,400,28,1,1,0.432
KCIT,400,28,1,1,0.1186
SDCIT,400,28,2,1,0.354
KCIT,400,28,2,1,0.0564
SDCIT,400,28,5,1,0.3
KCIT,400,28,5,1,0.0812
SDCIT,400,28,10,1,0.182
KCIT,400,28,10,1,0.1624
SDCIT,400,28,20,1,0.052
KCIT,400,28,20,1,0.2222
SDCIT,200,249,0.05,1,0.758
KCIT,200,249,0.05,1,0.7798
SDCIT,200,249,0.1,1,0.766
KCIT,200,249,0.1,1,0.757
SDCIT,200,249,0.2,1,0.726
KCIT,200,249,0.2,1,0.7646
SDCIT,200,249,0.5,1,0.71
KCIT,200,249,0.5,1,0.5296
SDCIT,200,249,1,1,0.71
KCIT,200,249,1,1,0.2614
SDCIT,200,249,2,1,0.706
KCIT,200,249,2,1,0.0998
SDCIT,200,249,5,1,0.57
KCIT,200,249,5,1,0.0914
SDCIT,200,249,10,1,0.908
KCIT,200,249,10,1,0.1806
SDCIT,200,249,20,1,0.96
KCIT,200,249,20,1,0.3024
SDCIT,200,84,0.05,1,0.484
KCIT,200,84,0.05,1,0.5078
SDCIT,200,84,0.1,1,0.462
KCIT,200,84,0.1,1,0.4704
SDCIT,200,84,0.2,1,0.432
KCIT,200,84,0.2,1,0.373
SDCIT,200,84,0.5,1,0.384
KCIT,200,84,0.5,1,0.2938
SDCIT,200,84,1,1,0.374
KCIT,200,84,1,1,0.3228
SDCIT,200,84,2,1,0.436
KCIT,200,84,2,1,0.3878
SDCIT,200,84,5,1,0.58
KCIT,200,84,5,1,0.2614
SDCIT,200,84,10,1,0.652
KCIT,200,84,10,1,0.2478
SDCIT,200,84,20,1,0.358
KCIT,200,84,20,1,0.2518
SDCIT,200,136,0.05,1,0.612
KCIT,200,136,0.05,1,0.9204
SDCIT,200,136,0.1,1,0.62
KCIT,200,136,0.1,1,0.9326
SDCIT,200,136,0.2,1,0.634
KCIT,200,136,0.2,1,0.9716
SDCIT,200,136,0.5,1,0.676
KCIT,200,136,0.5,1,0.9668
SDCIT,200,136,1,1,0.69
KCIT,200,136,1,1,0.937
SDCIT,200,136,2,1,0.63
KCIT,200,136,2,1,0.8434
SDCIT,200,136,5,1,0.616
KCIT,200,136,5,1,0.6432
SDCIT,200,136,10,1,0.78
KCIT,200,136,10,1,0.4602
SDCIT,200,136,20,1,0.718
KCIT,200,136,20,1,0.3638
SDCIT,200,159,0.05,1,0.43
KCIT,200,159,0.05,1,0.5664
SDCIT,200,159,0.1,1,0.416
KCIT,200,159,0.1,1,0.5716
SDCIT,200,159,0.2,1,0.456
KCIT,200,159,0.2,1,0.626
SDCIT,200,159,0.5,1,0.476
KCIT,200,159,0.5,1,0.7128
SDCIT,200,159,1,1,0.522
KCIT,200,159,1,1,0.7426
SDCIT,200,159,2,1,0.584
KCIT,200,159,2,1,0.5916
SDCIT,200,159,5,1,0.618
KCIT,200,159,5,1,0.3608
SDCIT,200,159,10,1,0.76
KCIT,200,159,10,1,0.357
SDCIT,200,159,20,1,0.94
KCIT,200,159,20,1,0.3052
SDCIT,200,264,0.05,1,0.212
KCIT,200,264,0.05,1,0.1384
SDCIT,200,264,0.1,1,0.254
KCIT,200,264,0.1,1,0.1418
SDCIT,200,264,0.2,1,0.28
KCIT,200,264,0.2,1,0.1508
SDCIT,200,264,0.5,1,0.444
KCIT,200,264,0.5,1,0.2008
SDCIT,200,264,1,1,0.628
KCIT,200,264,1,1,0.1648
SDCIT,200,264,2,1,0.808
KCIT,200,264,2,1,0.2014
SDCIT,200,264,5,1,0.962
KCIT,200,264,5,1,0.3014
SDCIT,200,264,10,1,0.956
KCIT,200,264,10,1,0.2518
SDCIT,200,264,20,1,0.688
KCIT,200,264,20,1,0.2318
SDCIT,200,205,0.05,1,0.94
KCIT,200,205,0.05,1,0.205
SDCIT,200,205,0.1,1,0.898
KCIT,200,205,0.1,1,0.258
SDCIT,200,205,0.2,1,0.87
KCIT,200,205,0.2,1,0.3662
SDCIT,200,205,0.5,1,0.692
KCIT,200,205,0.5,1,0.4276
SDCIT,200,205,1,1,0.498
KCIT,200,205,1,1,0.5072
SDCIT,200,205,2,1,0.418
KCIT,200,205,2,1,0.6652
SDCIT,200,205,5,1,0.382
KCIT,200,205,5,1,0.428
SDCIT,200,205,10,1,0.44
KCIT,200,205,10,1,0.3732
SDCIT,200,205,20,1,0.576
KCIT,200,205,20,1,0.2994
SDCIT,400,203,0.05,1,0.87
KCIT,400,203,0.05,1,0.6322
SDCIT,400,203,0.1,1,0.788
KCIT,400,203,0.1,1,0.6216
SDCIT,400,203,0.2,1,0.72
KCIT,400,203,0.2,1,0.6774
SDCIT,400,203,0.5,1,0.542
KCIT,400,203,0.5,1,0.6254
SDCIT,400,203,1,1,0.516
KCIT,400,203,1,1,0.538
SDCIT,400,203,2,1,0.462
KCIT,400,203,2,1,0.4678
SDCIT,400,203,5,1,0.386
KCIT,400,203,5,1,0.432
SDCIT,400,203,10,1,0.588
KCIT,400,203,10,1,0.4278
SDCIT,400,203,20,1,0.7
KCIT,400,203,20,1,0.3552
SDCIT,400,87,0.05,1,0.062
KCIT,400,87,0.05,1,0.4336
SDCIT,400,87,0.1,1,0.046
KCIT,400,87,0.1,1,0.4546
SDCIT,400,87,0.2,1,0.058
KCIT,400,87,0.2,1,0.4764
SDCIT,400,87,0.5,1,0.116
KCIT,400,87,0.5,1,0.538
SDCIT,400,87,1,1,0.2
KCIT,400,87,1,1,0.5998
SDCIT,400,87,2,1,0.282
KCIT,400,87,2,1,0.5584
SDCIT,400,87,5,1,0.334
KCIT,400,87,5,1,0.6044
SDCIT,400,87,10,1,0.314
KCIT,400,87,10,1,0.506
SDCIT,400,87,20,1,0.288
KCIT,400,87,20,1,0.4228
SDCIT,400,108,0.05,1,0.514
KCIT,400,108,0.05,1,0.1944
SDCIT,400,108,0.1,1,0.518
KCIT,400,108,0.1,1,0.1996
SDCIT,400,108,0.2,1,0.558
KCIT,400,108,0.2,1,0.1544
SDCIT,400,108,0.5,1,0.602
KCIT,400,108,0.5,1,0.2036
SDCIT,400,108,1,1,0.688
KCIT,400,108,1,1,0.2606
SDCIT,400,108,2,1,0.792
KCIT,400,108,2,1,0.406
SDCIT,400,108,5,1,0.858
KCIT,400,108,5,1,0.444
SDCIT,400,108,10,1,0.916
KCIT,400,108,10,1,0.3802
SDCIT,400,108,20,1,0.828
KCIT,400,108,20,1,0.3324
SDCIT,200,127,0.05,1,0.662
KCIT,200,127,0.05,1,0.1264
SDCIT,200,127,0.1,1,0.604
KCIT,200,127,0.1,1,0.132
SDCIT,200,127,0.2,1,0.622
KCIT,200,127,0.2,1,0.122
SDCIT,200,127,0.5,1,0.63
KCIT,200,127,0.5,1,0.1708
SDCIT,200,127,1,1,0.59
KCIT,200,127,1,1,0.2258
SDCIT,200,127,2,1,0.37
KCIT,200,127,2,1,0.292
SDCIT,200,127,5,1,0.272
